source_path	source_rel	filename	ext	mac_created	mac_modified	guide_date	date_confidence	dates_found	inferred_source	source_basis	frontmatter_keys	title_or_name	description	model	author	assistant	status	priority	origin_session_id	size_bytes
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/intent–execution_guidance_tiers_87f61b9e.plan.md	2026-04-25-github-clone/.cursor/plans/intent–execution_guidance_tiers_87f61b9e.plan.md	intent–execution_guidance_tiers_87f61b9e.plan.md	.md	2026-04-19 22:12:18	2026-04-19 22:12:18	2026-04-25	medium_date_string	2026-04-25	cursor	path	name,overview,todos,content,status,content,status,content,status,isproject	Intent–execution guidance tiers					completed			4795
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/business-brain_ingestion_test_task_f91b45b3.plan.md	2026-04-25-github-clone/.cursor/plans/business-brain_ingestion_test_task_f91b45b3.plan.md	business-brain_ingestion_test_task_f91b45b3.plan.md	.md	2026-04-20 10:01:50	2026-04-20 10:01:50	2026-04-25	medium_date_string	2026-04-25,2026-04-20	cursor	path	name,overview,todos,content,status,content,status,content,status,isproject	Business-Brain Ingestion Test Task					pending			5112
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/disable_clean-build_stop_hook_cdffd43c.plan.md	2026-04-25-github-clone/.cursor/plans/disable_clean-build_stop_hook_cdffd43c.plan.md	disable_clean-build_stop_hook_cdffd43c.plan.md	.md	2026-04-16 20:08:51	2026-04-16 20:08:51	2026-04-25	medium_date_string	2026-04-25	cursor	path	name,overview,todos,content,status,content,status,content,status,content,status,content,status,isproject	Fix Clean-Build Documentation Loop					completed			7271
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/agent-congruent_repo_strategy_112bddf5.plan.md	2026-04-25-github-clone/.cursor/plans/agent-congruent_repo_strategy_112bddf5.plan.md	agent-congruent_repo_strategy_112bddf5.plan.md	.md	2026-04-17 00:47:19	2026-04-17 00:47:19	2026-04-25	medium_date_string	2026-04-25	cursor	path	name,overview,todos,content,status,content,status,content,status,content,status,content,status,content,status,content,status,isproject	Agent-congruent repo strategy					pending			14683
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/resolve_logic_to_be_confirmed_bloat_74fb8f50.plan.md	2026-04-25-github-clone/.cursor/plans/resolve_logic_to_be_confirmed_bloat_74fb8f50.plan.md	resolve_logic_to_be_confirmed_bloat_74fb8f50.plan.md	.md	2026-04-18 22:58:51	2026-04-18 22:58:51	2026-04-25	medium_date_string	2026-04-25	cursor	path	name,overview,todos,content,status,content,status,content,status,isproject	Resolve LOGIC TO BE CONFIRMED bloat					pending			3822
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/chrome_enterprise_+_mdm_rollout_35094f7c.plan.md	2026-04-25-github-clone/.cursor/plans/chrome_enterprise_+_mdm_rollout_35094f7c.plan.md	chrome_enterprise_+_mdm_rollout_35094f7c.plan.md	.md	2026-04-15 16:32:25	2026-04-15 16:32:25	2026-04-25	medium_date_string	2026-04-25	cursor	path	name,overview,todos,content,status,content,status,content,status,isproject	Chrome Enterprise + MDM rollout					pending			11993
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/fix_session_hook_loop_51ef1f80.plan.md	2026-04-25-github-clone/.cursor/plans/fix_session_hook_loop_51ef1f80.plan.md	fix_session_hook_loop_51ef1f80.plan.md	.md	2026-04-16 19:34:48	2026-04-16 19:34:48	2026-04-25	medium_date_string	2026-04-25	cursor	path	name,overview,todos,isproject	Fix Session Hook Loop								394
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/minimum_viable_icing_a377a1bd.plan.md	2026-04-25-github-clone/.cursor/plans/minimum_viable_icing_a377a1bd.plan.md	minimum_viable_icing_a377a1bd.plan.md	.md	2026-04-20 10:54:56	2026-04-20 10:54:56	2026-04-25	medium_date_string	2026-04-25	cursor	path	name,overview,todos,content,status,content,status,content,status,content,status,isproject	Minimum viable icing					pending			4126
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/cursor_orchestration_readiness_2289a228.plan.md	2026-04-25-github-clone/.cursor/plans/cursor_orchestration_readiness_2289a228.plan.md	cursor_orchestration_readiness_2289a228.plan.md	.md	2026-04-23 15:35:19	2026-04-23 15:35:19	2026-04-25	medium_date_string	2026-04-25,2026-04-23	cursor	path	name,overview,todos,content,status,content,status,content,status,isproject	Cursor orchestration readiness					completed			6774
/Users/ewansair/2026-04-25-SPARKLE-INBOX/AI_TOOL_MD_RESCUE/2026-04-25-MD-RESCUE-STAGING/files/2026-04-25-github-clone/.cursor/plans/github_organization_consolidation_265ceacb.plan.md	2026-04-25-github-clone/.cursor/plans/github_organization_consolidation_265ceacb.plan.md	github_organization_consolidation_265ceacb.plan.md	.md	2026-04-17 23:36:20	2026-04-17 23:36:20	2026-04-25	medium_date_string	2026-04-25,2026-04-17	cursor	path	name,overview,todos,content,status,content,status,content,status,content,status,content,status,content,status,isproject	GitHub Organization Consolidation					pending			4767
