"#","Section","Processes","Lines"
"1","Financial Operations","1.1–1.7","3,272"
"2","HR / People Operations","2.1–2.5","893"
"3","Health & Safety","3.1–3.7","1,902"
"4","GDPR / Data Protection","4.1–4.5","663"
"5","Payroll / Tax / Insurance","5.1–5.6","1,361"
"6","Sales Pipeline","6.1–6.8","3,226"
"7","Customer Service","7.1–7.7","3,586"
"8","Pricing Strategy","8.1–8.8","1,075"
"9","SOP / Quality Management","9.1–9.10 + 9.X","1,973"
"10","Content & Marketing","10.1–10.10","1,788"
"11","Business Continuity / Succession / Exit","11.1–11.7","1,566"
"12","Recruitment & Training","12.1–12.9","1,801"
"13","Supply Chain / Procurement","13.1–13.7","1,312"
"14","Living Document Framework","14.1–14.6","1,247"
"15","Company Formation, Legal & IP","15.1–15.14 + 15.X.1–10","2,010"
"16","Premises Management","16.1–16.10","891"
